timestamp,value
2012-10-23 19:56:00,24.2
2012-10-23 19:57:00,24.19
2012-10-23 19:58:00,24.2
2012-10-23 19:59:00,24.2
2012-10-23 20:00:00,24.2
2012-10-23 20:01:00,24.2272727273
2012-10-23 20:02:00,24.2
2012-10-23 20:03:00,24.2
2012-10-23 20:04:00,24.24
2012-10-23 20:05:00,24.22
2012-10-23 20:06:00,24.2363636364
2012-10-23 20:07:00,24.28
2012-10-23 20:08:00,24.2727272727
2012-10-23 20:09:00,24.3
2012-10-23 20:10:00,24.2909090909
2012-10-23 20:11:00,24.29
2012-10-23 20:12:00,24.3
2012-10-23 20:13:00,24.3
2012-10-23 20:14:00,24.3
2012-10-23 20:15:00,24.3
2012-10-23 20:16:00,24.3090909091
2012-10-23 20:17:00,24.35
2012-10-23 20:18:00,24.3181818182
2012-10-23 20:19:00,24.39
2012-10-23 20:20:00,24.4
2012-10-23 20:21:00,24.4
2012-10-23 20:22:00,24.4090909091
2012-10-23 20:23:00,24.39
2012-10-23 20:24:00,24.4
2012-10-23 20:25:00,24.43
2012-10-23 20:26:00,24.4545454545
2012-10-23 20:27:00,24.48
2012-10-23 20:28:00,24.5
2012-10-23 20:29:00,24.5
2012-10-23 20:30:00,24.5
2012-10-23 20:31:00,24.55
2012-10-23 20:32:00,24.51
2012-10-23 20:33:00,24.5
2012-10-23 20:34:00,24.58
2012-10-23 20:35:00,24.57
2012-10-23 20:36:00,24.5909090909
2012-10-23 20:37:00,24.6
2012-10-23 20:38:00,24.6
2012-10-23 20:39:00,24.63
2012-10-23 20:40:00,24.6818181818
2012-10-23 20:41:00,24.69
2012-10-23 20:42:00,24.7
2012-10-23 20:43:00,24.7
2012-10-23 20:44:00,24.7
2012-10-23 20:45:00,24.7
2012-10-23 20:46:00,24.7090909091
2012-10-23 20:47:00,24.7
2012-10-23 20:48:00,24.7636363636
2012-10-23 20:49:00,24.79
2012-10-23 20:50:00,24.7909090909
2012-10-23 20:51:00,24.8
2012-10-23 20:52:00,24.8
2012-10-23 20:53:00,24.8
2012-10-23 20:54:00,24.8272727273
2012-10-23 20:55:00,24.85
2012-10-23 20:56:00,24.8727272727
2012-10-23 20:57:00,24.89
2012-10-23 20:58:00,24.9
2012-10-23 20:59:00,24.9
2012-10-23 21:00:00,24.9272727273
2012-10-23 21:01:00,24.95
2012-10-23 21:02:00,24.9727272727
2012-10-23 21:03:00,24.99
2012-10-23 21:04:00,25
2012-10-23 21:05:00,25
2012-10-23 21:06:00,25
2012-10-23 21:07:00,25.02
2012-10-23 21:08:00,25
2012-10-23 21:09:00,25
2012-10-23 21:10:00,25
2012-10-23 21:11:00,25.08
2012-10-23 21:12:00,25.07
2012-10-23 21:13:00,25.1
2012-10-23 21:14:00,25.1
2012-10-23 21:15:00,25.1272727273
2012-10-23 21:16:00,25.15
2012-10-23 21:17:00,25.1727272727
2012-10-23 21:18:00,25.2
2012-10-23 21:19:00,25.2
2012-10-23 21:20:00,25.2
2012-10-23 21:21:00,25.2
2012-10-23 21:22:00,25.21
2012-10-23 21:23:00,25.2454545455
2012-10-23 21:24:00,25.3
2012-10-23 21:25:00,25.3
2012-10-23 21:26:00,25.32
2012-10-23 21:27:00,25.3090909091
2012-10-23 21:28:00,25.37
2012-10-23 21:29:00,25.4
2012-10-23 21:30:00,25.4
2012-10-23 21:31:00,25.4
2012-10-23 21:32:00,25.41
2012-10-23 21:33:00,25.4545454545
2012-10-23 21:34:00,25.49
2012-10-23 21:35:00,25.5090909091
2012-10-23 21:36:00,25.52
2012-10-23 21:37:00,25.5454545455
2012-10-23 21:38:00,25.61
2012-10-23 21:39:00,25.6
2012-10-23 21:40:00,25.6
2012-10-23 21:41:00,25.6
2012-10-23 21:42:00,25.6
2012-10-23 21:43:00,25.6090909091
2012-10-23 21:44:00,25.6
2012-10-23 21:45:00,25.6454545455
2012-10-23 21:46:00,25.64
2012-10-23 21:47:00,25.6545454545
2012-10-23 21:48:00,25.69
2012-10-23 21:49:00,25.6727272727
2012-10-23 21:50:00,25.68
2012-10-23 21:51:00,25.6818181818
2012-10-23 21:52:00,25.7
2012-10-23 21:53:00,25.6909090909
2012-10-23 21:54:00,25.7
2012-10-23 21:55:00,25.7
2012-10-23 21:56:00,25.7
2012-10-23 21:57:00,25.7
2012-10-23 21:58:00,25.7
2012-10-23 21:59:00,25.7181818182
2012-10-23 22:00:00,25.75
2012-10-23 22:01:00,25.7818181818
2012-10-23 22:02:00,25.77
2012-10-23 22:03:00,25.77
2012-10-23 22:04:00,25.8
2012-10-23 22:05:00,25.8
2012-10-23 22:06:00,25.8
2012-10-23 22:07:00,25.8
2012-10-23 22:08:00,25.8
2012-10-23 22:09:00,25.8
2012-10-23 22:10:00,25.7818181818
2012-10-23 22:11:00,25.76
2012-10-23 22:12:00,25.7272727273
2012-10-23 22:13:00,25.71
2012-10-23 22:14:00,25.7181818182
2012-10-23 22:15:00,25.7
2012-10-23 22:16:00,25.7090909091
2012-10-23 22:17:00,25.7
2012-10-23 22:18:00,25.7
2012-10-23 22:19:00,25.7
2012-10-23 22:20:00,25.7
2012-10-23 22:21:00,25.7
2012-10-23 22:22:00,25.6090909091
2012-10-23 22:23:00,25.6
2012-10-23 22:24:00,25.6
2012-10-23 22:25:00,25.55
2012-10-23 22:26:00,25.5
2012-10-23 22:27:00,25.46
2012-10-23 22:28:00,25.4
2012-10-23 22:29:00,25.4
2012-10-23 22:30:00,25.3818181818
2012-10-23 22:31:00,25.32
2012-10-23 22:32:00,25.3
2012-10-23 22:33:00,25.24
2012-10-23 22:34:00,25.1909090909
2012-10-23 22:35:00,25.12
2012-10-23 22:36:00,25.0272727273
2012-10-23 22:37:00,24.98
2012-10-23 22:38:00,24.8727272727
2012-10-23 22:39:00,24.85
2012-10-23 22:40:00,24.8
2012-10-23 22:41:00,24.7
2012-10-23 22:42:00,24.7
2012-10-23 22:43:00,24.68
2012-10-23 22:44:00,24.7
2012-10-23 22:45:00,24.69
2012-10-23 22:46:00,24.6909090909
2012-10-23 22:47:00,24.69
2012-10-23 22:48:00,24.7
2012-10-23 22:49:00,24.7
2012-10-23 22:50:00,24.69
2012-10-23 22:51:00,24.6818181818
2012-10-23 22:52:00,24.63
2012-10-23 22:53:00,24.6181818182
2012-10-23 22:54:00,24.6
2012-10-23 22:55:00,24.6
