metadata,100_nodes
1,8.862123
1,15.448697
1,15.478539999999999
1,15.321124999999999
1,15.930107
2,17.04194
2,15.968166
2,18.737918999999998
2,15.692805
2,22.172262
3,16.261729
3,16.811099
3,22.161673
3,15.89909
3,15.769312999999999
4,15.804685
4,16.094161
4,16.26722
4,15.926599
4,15.846869
5,15.980347
5,15.985992
5,29.713179
5,20.763923
5,20.276798
6,16.77515
6,16.222552
6,25.019509
6,21.348447999999998
6,23.695701999999997
7,16.299841
7,16.428864
7,26.305965999999998
7,17.014146999999998
7,16.884522999999998
8,17.507209
8,25.654507
8,25.118243999999997
8,25.865429
8,16.746437
9,22.240958
9,25.392424
9,25.385737
9,20.835069999999998
9,21.847188
10,22.966631
10,22.171611
10,20.935261
10,20.886620999999998
10,21.979056999999997
20,23.372774999999997
20,29.256065999999997
20,28.801610999999998
20,28.32291
20,24.29119
30,26.170209
30,26.198145
30,26.283217999999998
30,27.369056
30,27.045734
40,27.665035999999997
40,33.777673
40,29.981078
40,34.101248
40,29.145032999999998
50,31.044604
50,29.96866
50,31.958426
50,31.207397999999998
50,31.189321
60,34.29251
60,33.703341
60,33.317389999999996
60,33.693279
60,32.805169
70,37.607416
70,36.96756
70,35.158878
70,37.710539
70,37.799215
80,38.857141
80,40.364996
80,40.573899999999995
80,40.202252
80,39.125428
90,41.964397
90,42.152175
90,40.299201
90,42.248915
90,41.330577999999996
100,44.267300999999996
100,45.071723999999996
100,43.856055
100,44.237874999999995
100,43.960766
200,76.990065
200,78.527261
200,74.485526
200,77.01771699999999
200,78.852237
300,182.16926999999998
300,182.57706
300,111.110458
300,195.960841
300,105.538966
400,139.202831
400,139.215803
400,135.72052399999998
400,141.560497
400,144.361238
500,167.562175
500,166.793294
500,166.83614699999998
500,170.831167
500,165.43328
600,197.926592
600,195.748998
600,209.30297299999998
600,202.417656
600,201.86136
700,337.765719
700,333.068014
700,237.517913
700,313.17695399999997
700,331.405053
800,283.613364
800,271.82820499999997
800,342.12240099999997
800,267.22664499999996
800,281.995289
900,397.96957399999997
900,286.82941999999997
900,294.954641
900,287.70876699999997
900,390.603307
1000,325.149989
1000,323.860977
1000,323.22673
1000,337.637855
1000,336.872252
