timestamp,humidity
2012-10-23 19:56:00,35
2012-10-23 19:57:00,35.1636363636
2012-10-23 19:58:00,35.4703703704
2012-10-23 19:59:00,35.6769230769
2012-10-23 20:00:00,35.6821428571
2012-10-23 20:01:00,35.9232142857
2012-10-23 20:02:00,35.9
2012-10-23 20:03:00,35.9254545455
2012-10-23 20:04:00,36.0711864407
2012-10-23 20:05:00,36.1684210526
2012-10-23 20:06:00,36.2090909091
2012-10-23 20:07:00,36.262962963
2012-10-23 20:08:00,36.2963636364
2012-10-23 20:09:00,36.4388888889
2012-10-23 20:10:00,36.5944444444
2012-10-23 20:11:00,36.5473684211
2012-10-23 20:12:00,36.0777777778
2012-10-23 20:13:00,36.0350877193
2012-10-23 20:14:00,35.9596491228
2012-10-23 20:15:00,35.9413793103
2012-10-23 20:16:00,36.1592592593
2012-10-23 20:17:00,36.2
2012-10-23 20:18:00,36.1962962963
2012-10-23 20:19:00,36.0535714286
2012-10-23 20:20:00,36.1055555556
2012-10-23 20:21:00,36
2012-10-23 20:22:00,35.7121212121
2012-10-23 20:23:00,35.5810810811
2012-10-23 20:24:00,35.6954545455
2012-10-23 20:25:00,35.7
2012-10-23 20:26:00,35.815625
2012-10-23 20:27:00,36.0755555556
2012-10-23 20:28:00,36.1934782609
2012-10-23 20:29:00,36.2813953488
2012-10-23 20:30:00,36.2813953488
2012-10-23 20:31:00,36.1
2012-10-23 20:32:00,36.1125
2012-10-23 20:33:00,36.3
2012-10-23 20:34:00,36.3130434783
2012-10-23 20:35:00,36.5142857143
2012-10-23 20:36:00,36.1634146341
2012-10-23 20:37:00,36.205
2012-10-23 20:38:00,36.4384615385
2012-10-23 20:39:00,36.5285714286
2012-10-23 20:40:00,36.5866666667
2012-10-23 20:41:00,36.6666666667
2012-10-23 20:42:00,36.4114285714
2012-10-23 20:43:00,36.4761904762
2012-10-23 20:44:00,36.3378378378
2012-10-23 20:45:00,36.5384615385
2012-10-23 20:46:00,36.3896551724
2012-10-23 20:47:00,36.575
2012-10-23 20:48:00,36.4578947368
2012-10-23 20:49:00,36.4
2012-10-23 20:50:00,36.392
2012-10-23 20:51:00,36.2818181818
2012-10-23 20:52:00,36.2818181818
2012-10-23 20:53:00,36.2818181818
2012-10-23 20:54:00,36.2818181818
2012-10-23 20:55:00,36.2818181818
2012-10-23 20:56:00,36.2818181818
2012-10-23 20:57:00,35.46
2012-10-23 20:58:00,35.6097560976
2012-10-23 20:59:00,35.4135135135
2012-10-23 21:00:00,35.3833333333
2012-10-23 21:01:00,35.1304347826
2012-10-23 21:02:00,35.3352941176
2012-10-23 21:03:00,35.6083333333
2012-10-23 21:04:00,35.6444444444
2012-10-23 21:05:00,35.7829268293
2012-10-23 21:06:00,35.9239130435
2012-10-23 21:07:00,35.775
2012-10-23 21:08:00,35.8769230769
2012-10-23 21:09:00,35.7133333333
2012-10-23 21:10:00,35.835
2012-10-23 21:11:00,36.0333333333
2012-10-23 21:12:00,35.925
2012-10-23 21:13:00,35.9368421053
2012-10-23 21:14:00,35.7413793103
2012-10-23 21:15:00,35.8517241379
2012-10-23 21:16:00,35.9962264151
2012-10-23 21:17:00,36.2660714286
2012-10-23 21:18:00,36.0555555556
2012-10-23 21:19:00,35.6578947368
2012-10-23 21:20:00,35.8877192982
2012-10-23 21:21:00,35.8086206897
2012-10-23 21:22:00,35.8377358491
2012-10-23 21:23:00,35.6789473684
2012-10-23 21:24:00,35.3907407407
2012-10-23 21:25:00,35.5178571429
2012-10-23 21:26:00,35.6678571429
2012-10-23 21:27:00,35.674
2012-10-23 21:28:00,35.7526315789
2012-10-23 21:29:00,36.0362068966
2012-10-23 21:30:00,36.0362068966
2012-10-23 21:31:00,36.0362068966
2012-10-23 21:32:00,36.0362068966
2012-10-23 21:33:00,36.0362068966
2012-10-23 21:34:00,36.0362068966
2012-10-23 21:35:00,36.844
2012-10-23 21:36:00,36.6977777778
2012-10-23 21:37:00,36.5075471698
2012-10-23 21:38:00,36.5
2012-10-23 21:39:00,36.5058823529
2012-10-23 21:40:00,36.5
2012-10-23 21:41:00,36.56
2012-10-23 21:42:00,36.56875
2012-10-23 21:43:00,36.6672727273
2012-10-23 21:44:00,36.5963636364
2012-10-23 21:45:00,36.4586956522
2012-10-23 21:46:00,36.4769230769
2012-10-23 21:47:00,36.222
2012-10-23 21:48:00,36.0192982456
2012-10-23 21:49:00,35.8655172414
2012-10-23 21:50:00,35.6879310345
2012-10-23 21:51:00,35.8
2012-10-23 21:52:00,35.8163636364
2012-10-23 21:53:00,36.1788461538
2012-10-23 21:54:00,36.375
2012-10-23 21:55:00,36.4087719298
2012-10-23 21:56:00,36.6169491525
2012-10-23 21:57:00,36.8280701754
2012-10-23 21:58:00,36.7482142857
2012-10-23 21:59:00,36.6446428571
2012-10-23 22:00:00,36.5396551724
2012-10-23 22:01:00,36.4912280702
2012-10-23 22:02:00,36.4631578947
2012-10-23 22:03:00,36.5140350877
2012-10-23 22:04:00,36.5
2012-10-23 22:05:00,36.4125
2012-10-23 22:06:00,36.4433962264
2012-10-23 22:07:00,36.5881355932
2012-10-23 22:08:00,36.4034482759
2012-10-23 22:09:00,36.2
2012-10-23 22:10:00,36.2438596491
2012-10-23 22:11:00,36.1890909091
2012-10-23 22:12:00,36.3689655172
2012-10-23 22:13:00,36.6372881356
2012-10-23 22:14:00,36.9203389831
2012-10-23 22:15:00,36.9203389831
2012-10-23 22:16:00,36.9203389831
2012-10-23 22:17:00,36.9203389831
2012-10-23 22:18:00,36.9203389831
