metadata,1_nodes,2_nodes,3_nodes,4_nodes,5_nodes,6_nodes,7_nodes,8_nodes,9_nodes,10_nodes,20_nodes,30_nodes,40_nodes,50_nodes,60_nodes,70_nodes,80_nodes,90_nodes,100_nodes,200_nodes,300_nodes,400_nodes,500_nodes,600_nodes,700_nodes,800_nodes,900_nodes,1000_nodes
1000,120.061762,88.68038299999999,102.729627,102.16938499999999,116.38228099999999,170.974338,133.014059,143.476623,154.569445,158.345415,316.885763,410.285783,594.937318,655.366312,715.095859,815.9005109999999,931.3269779999999,1059.489463,1115.556816,2215.239297,3291.217968,4564.918042,5789.501391,6900.64624,8330.590570999999,10355.927711999999,11065.525540999999,13083.464143
1000,88.468412,77.031706,106.021131,132.522109,109.01657,121.192115,123.219938,133.78215699999998,150.178027,157.01516999999998,259.739561,404.75167799999997,556.160818,688.022261,817.634552,832.140452,966.765893,1123.2838219999999,1103.821158,2346.160336,3445.770536,4608.080615,5866.9981689999995,6952.431239,8666.938821,10251.260961,12703.371206,12907.569049
1000,74.691364,79.449088,91.22482699999999,100.041804,114.09638199999999,140.132688,153.02090099999998,159.59813699999998,175.88896699999998,185.55635099999998,275.946771,367.92702199999997,610.7513339999999,711.219783,752.888157,814.007667,926.252345,1032.407571,1134.73462,2143.876342,3323.754858,4418.786419999999,5773.532338,6978.953998999999,8578.958908,10192.632907,11186.508184999999,13141.534059
1000,74.208693,79.041048,90.78572799999999,99.89151,110.368493,122.43470099999999,131.75352999999998,148.812075,167.104141,171.419177,280.601813,522.0600019999999,532.8918209999999,675.228534,734.7589899999999,844.1797019999999,970.209565,1000.906879,1109.652724,2202.296915,3314.064255,4641.386251,5538.997057,7042.588017,8332.367533999999,11312.744542,11099.256663999999,12756.903809
1000,79.389443,83.263262,91.99209499999999,108.79834799999999,121.57799,134.92154399999998,151.222184,155.32685999999998,173.056411,172.608962,376.05836899999997,388.75922599999996,531.4710759999999,681.538681,776.659547,835.4386959999999,917.666088,965.209473,1251.821056,2256.76428,3380.426723,4525.736957,5801.516130999999,7122.197274,8368.783441,9594.235336,11273.522791,12680.689018
1000,77.403391,,143.72395,,,,,,,,,,,,,,,,,,,,,,,,,
1000,70.611915,,89.952652,,,,,,,,,,,,,,,,,,,,,,,,,
1000,68.448483,,92.708112,,,,,,,,,,,,,,,,,,,,,,,,,
1000,68.347531,,91.136201,,,,,,,,,,,,,,,,,,,,,,,,,
1000,73.440867,,92.193933,,,,,,,,,,,,,,,,,,,,,,,,,
