metadata,1_nodes,2_nodes,3_nodes,4_nodes,5_nodes,6_nodes,7_nodes,8_nodes,9_nodes,10_nodes,20_nodes,30_nodes,40_nodes,50_nodes,60_nodes,70_nodes,80_nodes,90_nodes,100_nodes,200_nodes,300_nodes,400_nodes,500_nodes,600_nodes,700_nodes,800_nodes,900_nodes,1000_nodes
1000,6.63613,8.206871999999999,17.450989,11.243203999999999,14.70657,17.325588,23.070797,22.081867,28.295292,30.535369,61.23018,98.49013099999999,131.675299,171.867074,210.732866,318.78128399999997,354.234518,315.30100799999997,344.304257,710.8395879999999,1101.721226,1430.07135,1777.140201,2199.8643589999997,2752.9165599999997,3169.89434,3382.1157909999997,3614.8876179999997
1000,4.415507,5.9016269999999995,11.685865999999999,11.380365,15.638231999999999,16.930433,20.335172999999998,25.539790999999997,29.062735999999997,31.436556999999997,126.879279,174.98443999999998,217.871527,257.89552,295.275316,316.397264,370.152496,301.505248,422.31751199999997,822.318763,1192.136501,1590.490014,2116.603134,2319.934571,2483.7515989999997,3224.072631,3521.0012709999996,3827.0727119999997
1000,4.5037139999999996,5.7297709999999995,8.363579999999999,12.077496,15.163694999999999,22.102555,24.272561,34.619413,38.064980999999996,40.055681,78.580957,114.394818,132.482868,164.070102,206.057717,253.391919,317.406838,295.135848,346.63131,683.571522,1256.732773,1562.371962,1854.005524,2156.483791,2804.244968,3361.504426,3365.848729,3627.0547739999997
1000,2.967691,6.202597,8.795338,12.065824,18.372509,17.898146999999998,20.598271999999998,22.703014,34.494791,38.162842999999995,74.031087,120.016819,129.194574,168.629369,207.662838,247.87193399999998,315.907237,320.134867,348.95460499999996,666.210387,1091.902866,1533.6464039999998,1810.254583,2127.733573,2765.908767,3131.432109,3520.7455339999997,3596.5267059999996
1000,2.840681,6.079032,9.973550999999999,15.853745,16.108936,18.623611,27.461972,28.025131,32.002047,32.293434999999995,78.363215,94.310712,128.99345599999998,168.002358,202.837885,242.474212,299.543237,318.055493,342.74697599999996,708.7418289999999,1105.443651,1528.223824,2136.541456,2287.735167,2560.455582,3228.8317859999997,3243.0801039999997,3628.143235
1000,4.083699,,11.28379,,,,,,,,,,,,,,,,,,,,,,,,,
1000,3.4685099999999998,,8.895874,,,,,,,,,,,,,,,,,,,,,,,,,
1000,3.2975999999999996,,8.664643,,,,,,,,,,,,,,,,,,,,,,,,,
1000,3.65788,,8.627127,,,,,,,,,,,,,,,,,,,,,,,,,
1000,3.313555,,9.814570999999999,,,,,,,,,,,,,,,,,,,,,,,,,
