metadata,1_nodes,2_nodes,3_nodes,4_nodes,5_nodes,6_nodes,7_nodes,8_nodes,9_nodes,10_nodes,20_nodes,30_nodes,40_nodes,50_nodes,60_nodes,70_nodes,80_nodes,90_nodes,100_nodes,200_nodes,300_nodes,400_nodes,500_nodes,600_nodes,700_nodes,800_nodes,900_nodes,1000_nodes
1000,7.59993,9.603503,10.148429,12.292259999999999,17.271739999999998,20.269333,23.442973,26.652199,31.476039999999998,32.979092,68.878393,103.41291199999999,132.529989,159.659688,195.755813,231.157793,283.955084,320.430351,334.960169,804.6854559999999,1196.646029,1574.7743639999999,2162.062184,2626.315906,3282.208318,4061.655562,4757.4759779999995,5866.74978
1000,7.188599,6.984756,10.036157,14.967538999999999,18.642053,19.515532,21.49534,27.328834,30.943037,33.19675,64.333412,98.727212,141.093683,173.008568,200.858375,242.261598,288.041451,309.374639,344.82766399999997,876.5266009999999,1246.8851499999998,1772.735271,2089.617879,2863.3283659999997,3394.1752509999997,4408.338627,5044.956295999999,5655.147523
1000,3.9641669999999998,7.213869,9.681142999999999,17.113763,16.994350999999998,20.179855999999997,25.787955999999998,35.010123,34.043835,38.224294,71.351413,106.37357,141.94544399999998,174.352116,201.457008,236.78002999999998,274.38492199999996,340.389306,341.714211,787.1182,1160.206617,1725.766216,2130.160769,2688.815823,3486.9481579999997,4022.172389,5059.966826,5548.508643
1000,5.174645,6.832145,12.029827,17.205966,20.986019,24.188772,26.70725,32.075134,31.916832,36.234491,69.754789,112.089151,132.423004,169.672269,197.164923,249.689641,278.54601099999996,307.024904,342.813406,824.487493,1153.199294,1585.352461,2224.136436,2718.50951,3277.838344,4202.728454,4735.668933,5584.313408
1000,4.030816,7.131819999999999,9.479237,13.144048,21.829361,25.807413,27.711415,31.193872,37.340029,36.754675,88.75456299999999,97.798029,133.803981,165.465732,200.501557,230.910676,267.07775,324.178514,375.348322,816.10646,1230.8488519999999,1666.801088,2124.167431,2838.9582969999997,3212.118646,3934.950499,4571.320369,5361.089242999999
1000,4.648986,,12.223168,,,,,,,,,,,,,,,,,,,,,,,,,
1000,4.340589,,11.769618999999999,,,,,,,,,,,,,,,,,,,,,,,,,
1000,4.0238949999999996,,16.128532,,,,,,,,,,,,,,,,,,,,,,,,,
1000,4.112924,,10.481624,,,,,,,,,,,,,,,,,,,,,,,,,
1000,4.45628,,9.895857,,,,,,,,,,,,,,,,,,,,,,,,,
