metadata,1000_nodes
1,1086440.929879
1,1085612.4114619999
1,1089612.989481
1,1088417.420377
1,1083154.591144
2,1093043.8264559999
2,1084894.44669
2,1094900.458129
2,1087152.016421
2,1082373.854366
3,1094002.539036
3,1083154.806172
3,1097350.0183569998
3,1087552.3268859999
3,1085803.4053459999
4,1099107.856828
4,1090634.712153
4,1096135.221371
4,1090019.0100109999
4,1087816.325985
5,1107108.097235
5,1090286.948228
5,1101879.759929
5,1095755.166951
5,1083621.7132579999
6,1113639.081734
6,1093876.586588
6,1103948.9935899999
6,1094800.907443
6,1087442.799717
7,1105024.092585
7,1088892.234738
7,1104955.725755
7,1095716.3890769999
7,1085596.540611
8,1105096.247619
8,1094469.45828
8,1108504.744309
8,1098258.134452
8,1090429.881796
9,1103506.7019439999
9,1091700.857574
9,1111710.2826369999
9,1102245.3686799998
9,1093918.3731489999
10,1108493.24115
10,1103932.6591969999
10,1110200.794023
10,1105796.662429
10,1096387.70606
20,1135054.7614459998
20,1133954.248265
20,1139472.6250119999
20,1130304.4198969998
20,1120622.760217
30,1175332.258334
30,1159177.564199
30,1170302.4265069999
30,1158215.322655
30,1154117.443417
40,1197056.885182
40,1188881.147657
40,1193565.394259
40,1186290.1236629998
40,1176952.345212
50,1216133.5038939998
50,1214173.5167999999
50,1216116.6490789999
50,1216471.635328
50,1225819.2622709998
60,1252775.640244
60,1244669.660321
60,1250082.289903
60,1246872.50971
60,1267899.239441
70,1282465.705754
70,1275397.521307
70,1281298.640659
70,1270437.126258
70,1281711.54354
80,1308515.691482
80,1302063.08436
80,1311805.227217
80,1301655.197377
80,1306521.063739
90,1338099.656436
90,1339288.9320979998
90,1331135.234946
90,1330676.694765
90,1323043.8890459999
100,590586.5372789999
100,600489.535056
100,585068.226834
100,585735.709268
100,586743.47197
200,1718278.487147
200,1713920.0178709999
200,1707716.567825
200,1698877.4627319998
200,1687622.191127
300,2047025.8073049998
300,2092806.982848
300,2030942.2572609999
300,2023385.8195719998
300,2014682.7899409998
400,2464263.257621
400,2461690.089074
400,2444132.4737319998
400,2421135.464671
400,2395714.9815309998
500,2824948.163543
500,2769976.239054
500,2788560.993479
500,2747837.2751309997
500,2736599.523968
600,3139069.824339
600,3135287.6004649997
600,3118001.8619069997
600,3089850.356253
600,3075834.229295
700,3549042.708568
700,3633920.510971
700,3639358.241796
700,3598965.3667099997
700,3570028.887789
800,3942310.343091
800,4006766.2743079998
800,3997150.063826
800,3929647.0455569997
800,3939251.5236549997
900,4243561.199245
900,4299245.017299
900,4288655.592035
900,4178207.869813
900,4207440.900859
1000,4619950.081797
1000,4691224.170051999
1000,4641885.57712
1000,4572955.368504
1000,4664066.707855
