nodes,1_metadata_mismatches,2_metadata_mismatches,3_metadata_mismatches,4_metadata_mismatches,5_metadata_mismatches,6_metadata_mismatches,7_metadata_mismatches,8_metadata_mismatches,9_metadata_mismatches,10_metadata_mismatches,20_metadata_mismatches,30_metadata_mismatches,40_metadata_mismatches,50_metadata_mismatches,60_metadata_mismatches,70_metadata_mismatches,80_metadata_mismatches,90_metadata_mismatches,100_metadata_mismatches,200_metadata_mismatches,300_metadata_mismatches,400_metadata_mismatches,500_metadata_mismatches,600_metadata_mismatches,700_metadata_mismatches,800_metadata_mismatches,900_metadata_mismatches,1000_metadata_mismatches
1000,1086440.929879,1093043.8264559999,1094002.539036,1099107.856828,1107108.097235,1113639.081734,1105024.092585,1105096.247619,1103506.7019439999,1108493.24115,1135054.7614459998,1175332.258334,1197056.885182,1216133.5038939998,1252775.640244,1282465.705754,1308515.691482,1338099.656436,590586.5372789999,1718278.487147,2047025.8073049998,2464263.257621,2824948.163543,3139069.824339,3549042.708568,3942310.343091,4243561.199245,4619950.081797
1000,1085612.4114619999,1084894.44669,1083154.806172,1090634.712153,1090286.948228,1093876.586588,1088892.234738,1094469.45828,1091700.857574,1103932.6591969999,1133954.248265,1159177.564199,1188881.147657,1214173.5167999999,1244669.660321,1275397.521307,1302063.08436,1339288.9320979998,600489.535056,1713920.0178709999,2092806.982848,2461690.089074,2769976.239054,3135287.6004649997,3633920.510971,4006766.2743079998,4299245.017299,4691224.170051999
1000,1089612.989481,1094900.458129,1097350.0183569998,1096135.221371,1101879.759929,1103948.9935899999,1104955.725755,1108504.744309,1111710.2826369999,1110200.794023,1139472.6250119999,1170302.4265069999,1193565.394259,1216116.6490789999,1250082.289903,1281298.640659,1311805.227217,1331135.234946,585068.226834,1707716.567825,2030942.2572609999,2444132.4737319998,2788560.993479,3118001.8619069997,3639358.241796,3997150.063826,4288655.592035,4641885.57712
1000,1088417.420377,1087152.016421,1087552.3268859999,1090019.0100109999,1095755.166951,1094800.907443,1095716.3890769999,1098258.134452,1102245.3686799998,1105796.662429,1130304.4198969998,1158215.322655,1186290.1236629998,1216471.635328,1246872.50971,1270437.126258,1301655.197377,1330676.694765,585735.709268,1698877.4627319998,2023385.8195719998,2421135.464671,2747837.2751309997,3089850.356253,3598965.3667099997,3929647.0455569997,4178207.869813,4572955.368504
1000,1083154.591144,1082373.854366,1085803.4053459999,1087816.325985,1083621.7132579999,1087442.799717,1085596.540611,1090429.881796,1093918.3731489999,1096387.70606,1120622.760217,1154117.443417,1176952.345212,1225819.2622709998,1267899.239441,1281711.54354,1306521.063739,1323043.8890459999,586743.47197,1687622.191127,2014682.7899409998,2395714.9815309998,2736599.523968,3075834.229295,3570028.887789,3939251.5236549997,4207440.900859,4664066.707855
