metadata,100_nodes
1,19.662997
1,16.389589
1,18.582659
1,19.417381
1,18.921868999999997
2,16.579667999999998
2,18.74409
2,18.38639
2,19.437687
2,17.847793
3,16.911624
3,18.716594
3,16.889803999999998
3,20.948783
3,20.741419999999998
4,19.311946
4,19.20241
4,17.290025999999997
4,22.063824999999998
4,21.699686999999997
5,20.554057999999998
5,18.738989999999998
5,21.577026
5,18.349248
5,20.082029
6,20.694187
6,19.939009
6,20.44527
6,20.199234
6,19.527227
7,18.002513999999998
7,20.187645999999997
7,21.880398
7,20.178003
7,18.750645
8,18.282370999999998
8,19.624795
8,21.163563
8,22.669835
8,21.999715
9,20.660104
9,20.353490999999998
9,20.950837
9,22.128795999999998
9,19.28998
10,19.94249
10,22.663470999999998
10,19.736784
10,23.617907
10,20.172386
20,24.090439999999997
20,20.688181
20,22.650833
20,23.532429999999998
20,22.257493
30,26.078863
30,24.258053
30,23.9241
30,25.114739
30,25.022707999999998
40,26.241554999999998
40,29.273151
40,29.359572999999997
40,28.903387
40,29.223198
50,31.00876
50,29.531302999999998
50,33.098193
50,33.885422999999996
50,32.865066999999996
60,33.774801
60,31.566732
60,32.793774
60,30.829919999999998
60,30.879032
70,34.465866
70,35.144152
70,36.592734
70,34.997326
70,39.011469999999996
80,38.464425999999996
80,37.383066
80,40.803594
80,39.298178
80,37.005824
90,39.006524
90,39.886317
90,39.993528
90,42.539031
90,42.776882
100,39.630531
100,44.257852
100,43.375142
100,44.884361999999996
100,44.207366
200,72.249922
200,76.44385199999999
200,76.44919999999999
200,75.481109
200,74.90045099999999
300,107.95821199999999
300,105.398129
300,106.347782
300,106.79921399999999
300,106.920341
400,135.63584699999998
400,138.59062799999998
400,133.73806
400,137.86001199999998
400,135.591057
500,169.546303
500,171.051031
500,167.30222899999998
500,164.308126
500,172.718755
600,197.015522
600,197.582046
600,195.377233
600,194.95504499999998
600,189.52114899999998
700,226.71136099999998
700,239.60391299999998
700,236.40962299999998
700,230.59282
700,234.821316
800,260.422863
800,265.780773
800,263.968553
800,259.33669299999997
800,261.969042
900,307.46775199999996
900,300.993379
900,293.921335
900,301.762699
900,298.446133
1000,322.25271599999996
1000,330.55755899999997
1000,336.116534
1000,353.141252
1000,367.70439999999996
