nodes,1_metadata_mismatches,2_metadata_mismatches,3_metadata_mismatches,4_metadata_mismatches,5_metadata_mismatches,6_metadata_mismatches,7_metadata_mismatches,8_metadata_mismatches,9_metadata_mismatches,10_metadata_mismatches,20_metadata_mismatches,30_metadata_mismatches,40_metadata_mismatches,50_metadata_mismatches,60_metadata_mismatches,70_metadata_mismatches,80_metadata_mismatches,90_metadata_mismatches,100_metadata_mismatches,200_metadata_mismatches,300_metadata_mismatches,400_metadata_mismatches,500_metadata_mismatches,600_metadata_mismatches,700_metadata_mismatches,800_metadata_mismatches,900_metadata_mismatches,1000_metadata_mismatches
10,22.054211,77.947172,74.25340899999999,122.24776999999999,74.86792899999999,87.994419,74.921357,74.661946,83.973992,128.410235,77.745558,79.13427899999999,80.43606299999999,84.03895899999999,83.28215999999999,127.43080099999999,82.598619,83.00569,86.98849,85.512001,98.108976,109.532079,124.313577,192.613509,137.10073,147.29544099999998,156.95413,183.289213
10,15.995645999999999,76.154376,71.732685,75.712448,78.10412099999999,73.752707,76.34738899999999,78.718159,76.990819,85.890738,76.303423,76.55376,87.77521,83.178659,83.986254,78.185705,82.854202,85.008489,82.77362,86.62066399999999,97.71163399999999,113.034877,121.58671799999999,127.811399,143.783028,147.824986,158.891867,160.979916
10,15.104896,73.917394,78.88805599999999,77.476556,83.34660199999999,76.278352,70.64219299999999,77.902839,83.11336299999999,80.882823,81.995071,79.111012,80.499149,75.464485,81.049866,77.688495,79.065535,84.563767,143.659043,101.231945,108.511226,173.46213799999998,127.677556,137.84902599999998,161.755593,165.349417,177.30542,234.07110699999998
10,15.635441,89.578985,79.992592,124.52052099999999,89.742269,77.504458,76.166433,78.779033,78.644965,80.893284,77.83960499999999,78.907056,79.36495699999999,81.17934699999999,75.834622,81.246078,132.304902,84.519348,81.643191,89.327193,96.042358,105.74846699999999,115.896518,128.384207,138.33499,189.53770799999998,152.915726,172.39183799999998
10,16.493814,74.365811,74.229004,75.374443,78.05407799999999,77.656244,81.528688,128.10111,77.512491,77.400224,75.486998,77.420962,81.211677,84.251391,85.42665199999999,80.371402,84.673699,85.75104499999999,84.368471,143.395718,102.161863,108.108103,116.169237,131.310573,193.702892,206.365783,161.85863799999998,164.29686999999998
10,83.910719,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,76.596385,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,72.666404,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,91.06515499999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,75.40172799999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
