nodes,1_metadata_mismatches,2_metadata_mismatches,3_metadata_mismatches,4_metadata_mismatches,5_metadata_mismatches,6_metadata_mismatches,7_metadata_mismatches,8_metadata_mismatches,9_metadata_mismatches,10_metadata_mismatches,20_metadata_mismatches,30_metadata_mismatches,40_metadata_mismatches,50_metadata_mismatches,60_metadata_mismatches,70_metadata_mismatches,80_metadata_mismatches,90_metadata_mismatches,100_metadata_mismatches,200_metadata_mismatches,300_metadata_mismatches,400_metadata_mismatches,500_metadata_mismatches,600_metadata_mismatches,700_metadata_mismatches,800_metadata_mismatches,900_metadata_mismatches,1000_metadata_mismatches
10,119.024345,266.695734,223.770082,224.37201399999998,230.86826399999998,220.694266,267.954027,224.922285,217.290515,231.26571299999998,228.241817,259.955895,293.920125,262.056944,262.763669,274.147697,272.367351,282.26820699999996,330.924213,337.246601,446.33649699999995,481.640156,579.300181,618.6373619999999,754.4243839999999,796.195692,930.128621,1004.61335
10,84.29334899999999,222.011864,227.515639,231.78949,231.699134,226.8177,240.604326,253.505431,236.848794,231.208846,240.96205899999998,250.285899,305.882665,252.46525899999997,259.21922,314.20608699999997,305.980343,283.86393799999996,323.892436,332.412417,449.84880799999996,465.33446999999995,596.3178379999999,620.079754,762.1660459999999,815.3494039999999,867.095912,1000.5456089999999
10,76.459274,226.207283,225.18223999999998,228.749329,231.412488,270.595967,219.774204,221.16975399999998,271.627755,227.25621999999998,238.392902,245.44211199999998,294.912198,251.881688,256.346762,301.69068,276.85573999999997,281.05949899999996,300.941875,391.38304999999997,509.48189599999995,530.1334909999999,610.174863,726.9874159999999,835.885731,878.345875,1009.8515179999999,1063.062767
10,74.06079,262.522679,264.220036,243.45001399999998,237.100888,227.793807,222.491873,275.481247,231.289783,229.058078,287.12494699999996,252.04728899999998,244.792293,286.610913,259.82766599999997,260.159946,285.946733,273.278938,278.58218999999997,395.468238,400.689233,523.566163,535.919191,660.7770019999999,757.261264,769.728702,894.486812,941.212722
10,69.380675,223.97314699999998,235.238274,227.208283,273.94136,234.199668,231.27856899999998,232.096805,227.552358,238.075944,238.18165599999998,298.60006699999997,252.67366199999998,256.429956,303.042849,278.985685,277.554802,327.034564,284.250129,351.919035,410.919539,536.561345,552.20703,671.212513,718.051916,785.797972,924.019827,954.6062459999999
10,252.97032399999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,234.918329,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,215.895336,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,258.464526,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,282.845201,,,,,,,,,,,,,,,,,,,,,,,,,,,
