metadata,10_nodes
1,0.794766
1,1.345079
1,1.165508
1,1.5349409999999999
1,1.166417
1,2.238225
1,1.120097
1,1.089686
1,1.11428
1,1.196211
2,0.799755
2,1.131703
2,1.117332
2,1.22499
2,1.104263
2,
2,
2,
2,
2,
3,0.8352569999999999
3,1.184643
3,1.212678
3,1.243133
3,1.04503
3,
3,
3,
3,
3,
4,0.762671
4,1.2959669999999999
4,1.249722
4,1.1834719999999999
4,5.254214
4,
4,
4,
4,
4,
5,0.982706
5,1.259248
5,1.2878699999999998
5,1.1170849999999999
5,1.104844
5,
5,
5,
5,
5,
6,0.850498
6,1.270062
6,1.369773
6,1.086253
6,1.134105
6,
6,
6,
6,
6,
7,1.0441449999999999
7,1.264611
7,1.12821
7,1.21831
7,1.384601
7,
7,
7,
7,
7,
8,0.923951
8,1.375909
8,1.221943
8,1.16891
8,1.233017
8,
8,
8,
8,
8,
9,0.9423729999999999
9,1.384455
9,1.297226
9,1.266939
9,1.281496
9,
9,
9,
9,
9,
10,1.099726
10,1.35716
10,1.398777
10,1.2443579999999999
10,1.2124249999999999
10,
10,
10,
10,
10,
20,1.329788
20,1.706697
20,1.443406
20,1.486065
20,1.586824
20,
20,
20,
20,
20,
30,1.9275879999999999
30,2.043049
30,1.81713
30,1.720704
30,1.8610579999999999
30,
30,
30,
30,
30,
40,2.221365
40,2.2348049999999997
40,2.147716
40,2.019132
40,2.125952
40,
40,
40,
40,
40,
50,2.2356949999999998
50,2.217543
50,2.205482
50,2.2849079999999997
50,2.364745
50,
50,
50,
50,
50,
60,2.484072
60,2.600348
60,2.4162019999999997
60,2.395245
60,2.553493
60,
60,
60,
60,
60,
70,2.77871
70,2.777096
70,2.643731
70,2.618798
70,2.915281
70,
70,
70,
70,
70,
80,3.501956
80,3.217726
80,2.845011
80,3.0609699999999997
80,3.087446
80,
80,
80,
80,
80,
90,3.277425
90,3.400346
90,3.1190599999999997
90,3.52154
90,3.535507
90,
90,
90,
90,
90,
100,3.484625
100,3.49397
100,3.497873
100,3.621619
100,3.5498979999999998
100,
100,
100,
100,
100,
200,10.286282
200,8.938856
200,6.924405999999999
200,5.874978
200,6.190265999999999
200,
200,
200,
200,
200,
300,8.466564
300,8.41268
300,9.440144
300,8.788743
300,11.927723
300,
300,
300,
300,
300,
400,11.471954
400,11.251506
400,12.475710999999999
400,11.43726
400,11.800887
400,
400,
400,
400,
400,
500,13.86093
500,14.326972
500,15.385828
500,13.926089
500,17.252516
500,
500,
500,
500,
500,
600,17.032861999999998
600,16.927029
600,22.403398
600,16.227225
600,18.474634
600,
600,
600,
600,
600,
700,20.688852999999998
700,25.016015
700,27.315852999999997
700,20.47498
700,21.191159
700,
700,
700,
700,
700,
800,28.444391999999997
800,23.018641
800,28.431244
800,24.2136
800,26.953787
800,
800,
800,
800,
800,
900,31.592453
900,27.993323
900,34.365643999999996
900,39.078469
900,29.816893999999998
900,
900,
900,
900,
900,
1000,30.186657
1000,33.425233
1000,36.325779
1000,31.028934999999997
1000,33.500599
1000,
1000,
1000,
1000,
1000,
