metadata,10_nodes
1,1.823062
1,1.5399699999999998
1,1.9916079999999998
1,1.8075809999999999
1,1.9535449999999999
1,2.36508
1,1.5317699999999999
1,1.61909
1,1.78348
1,1.5697619999999999
2,1.289048
2,1.579118
2,2.13264
2,1.579921
2,1.4883309999999998
2,
2,
2,
2,
2,
3,1.362584
3,1.589351
3,1.9168889999999998
3,1.6921199999999998
3,1.570481
3,
3,
3,
3,
3,
4,1.354419
4,1.7709899999999998
4,1.7355619999999998
4,1.5715599999999998
4,1.546548
4,
4,
4,
4,
4,
5,1.450184
5,3.9551109999999996
5,1.723425
5,1.770076
5,1.618337
5,
5,
5,
5,
5,
6,1.8881269999999999
6,1.705023
6,1.577111
6,13.176739999999999
6,1.7271509999999999
6,
6,
6,
6,
6,
7,1.5895169999999998
7,1.768251
7,1.5884289999999999
7,1.607734
7,1.721398
7,
7,
7,
7,
7,
8,1.5132599999999998
8,1.808091
8,1.68502
8,2.069343
8,1.7585799999999998
8,
8,
8,
8,
8,
9,1.723901
9,1.8277949999999998
9,1.668841
9,1.897714
9,2.221807
9,
9,
9,
9,
9,
10,1.771812
10,4.698427
10,1.984073
10,1.715712
10,1.762746
10,
10,
10,
10,
10,
20,3.762196
20,2.06148
20,1.960049
20,1.908358
20,1.977296
20,
20,
20,
20,
20,
30,2.486424
30,2.701669
30,2.286145
30,2.271209
30,2.277668
30,
30,
30,
30,
30,
40,2.9054659999999997
40,4.663965999999999
40,2.463305
40,3.8635699999999997
40,2.6897189999999997
40,
40,
40,
40,
40,
50,2.64917
50,2.59329
50,2.7075519999999997
50,2.690578
50,2.831593
50,
50,
50,
50,
50,
60,5.227322
60,5.025525
60,2.936954
60,4.615647
60,3.1536429999999998
60,
60,
60,
60,
60,
70,3.369671
70,3.065286
70,3.4833659999999997
70,3.282532
70,3.46021
70,
70,
70,
70,
70,
80,3.4498919999999997
80,4.6022
80,3.509429
80,3.6595259999999996
80,3.579389
80,
80,
80,
80,
80,
90,3.6787099999999997
90,3.8402849999999997
90,4.182113
90,3.767543
90,3.8670359999999997
90,
90,
90,
90,
90,
100,4.326438
100,3.6651019999999996
100,4.0512939999999995
100,3.824767
100,4.037252
100,
100,
100,
100,
100,
200,6.773708999999999
200,6.616908
200,6.9139349999999995
200,9.115390999999999
200,7.960311
200,
200,
200,
200,
200,
300,9.280897999999999
300,9.340886
300,13.446985999999999
300,11.099962
300,10.037462
300,
300,
300,
300,
300,
400,13.163492
400,12.344802999999999
400,13.441846
400,14.667328999999999
400,13.017396999999999
400,
400,
400,
400,
400,
500,17.55097
500,18.260662
500,18.642982999999997
500,17.084636
500,15.394739999999999
500,
500,
500,
500,
500,
600,18.103731
600,18.661125
600,21.212782999999998
600,20.705423
600,21.349297999999997
600,
600,
600,
600,
600,
700,24.561162
700,22.216338
700,27.499259
700,23.988069
700,22.005088
700,
700,
700,
700,
700,
800,26.928731
800,24.545609
800,29.606731
800,28.22383
800,28.89727
800,
800,
800,
800,
800,
900,31.469445
900,27.953256
900,36.351759
900,29.986839999999997
900,31.863988
900,
900,
900,
900,
900,
1000,32.118908
1000,33.353134
1000,37.151692
1000,35.493611
1000,32.210507
1000,
1000,
1000,
1000,
1000,
