,402C1384,402C153A,4030CFDC,4033D01F,404B9DEA,404B9F7B,404C0450,404C0459,4052DAA7,4054AE24,405D7FDD,405D8032,405D805A,4060E326,406611E6,406611E7,406611F8,40661208,4066120C,4066631B,407C10F4,4086A0A1,4086A336,408CCCBD,4090298A,4090298B,4090298F,40902990,40902991,40902992,40902993,40902994,40902995,40902997,40902998,40902999,4090299A,4090299B,4090299C,4090299D
2012-10-23 19:56:00,46.891666666666652,38.399999999999999,35.0,50.100000000000001,,47.399999999999999,,50.899999999999999,49.650000000000006,44.25,,,40.862499999999997,49.100000000000001,49.5,52.100000000000001,,,,,,38.477272727272734,,40.933333333333337,,,,48.899999999999999,45.399999999999999,44.399999999999999,46.700000000000003,,49.150000000000006,,46.0,,49.79999999999999,,,
2012-10-23 19:57:00,46.805555555555564,38.119999999999997,35.163636363636378,50.100000000000001,,47.399999999999991,,50.622222222222227,49.63000000000001,44.18571428571429,,,41.046938775510199,48.974999999999994,49.355555555555561,52.037499999999994,,,48.585714285714289,,,38.070000000000014,,40.666666666666664,,,,49.019999999999996,45.299999999999997,44.433333333333337,46.640000000000001,,48.929999999999993,,45.862500000000004,,49.799999999999997,,,
2012-10-23 19:58:00,46.815094339622654,38.145454545454548,35.470370370370347,50.069999999999993,48.511111111111106,47.385714285714286,,50.354545454545466,49.609090909090902,44.020000000000003,,,41.471739130434756,49.0,49.344444444444441,52.31111111111111,44.674999999999997,,49.287499999999994,,,37.955384615384624,,40.880000000000003,,,,49.100000000000001,45.099999999999994,44.600000000000001,46.675000000000004,,48.829999999999998,,46.211111111111109,,49.777777777777779,52.06666666666667,52.0,
2012-10-23 19:59:00,46.966037735849042,38.390000000000001,35.67692307692311,50.140000000000001,48.68,47.324999999999996,,50.354545454545466,49.619999999999997,43.987499999999997,,,41.243137254901981,49.0,49.566666666666677,52.31428571428571,45.044444444444444,,48.950000000000003,,,38.055490196078438,,40.977777777777774,,,,49.033333333333331,44.933333333333337,44.75,46.68333333333333,,48.740000000000002,,46.345454545454544,,49.672727272727272,52.266666666666673,51.924999999999997,
2012-10-23 20:00:00,46.938181818181867,38.18181818181818,35.682142857142885,50.263636363636358,48.637499999999996,47.377777777777766,,50.463636363636368,49.236363636363642,43.975000000000001,,,40.809999999999988,49.055555555555557,49.611111111111121,52.620000000000005,45.733333333333327,,48.670000000000002,,,37.975192307692303,,40.528571428571425,,,,49.0,44.872727272727268,44.680000000000007,46.700000000000003,,48.881818181818183,,45.990909090909092,,49.777777777777779,52.100000000000001,51.966666666666661,
2012-10-23 20:01:00,46.651923076923055,38.236363636363627,35.923214285714316,50.081818181818178,48.637499999999996,47.250000000000007,,50.463636363636368,49.390000000000001,43.933333333333337,,,40.841999999999999,49.055555555555557,50.01428571428572,52.457142857142856,45.200000000000003,,48.670000000000002,,,37.940576923076918,,40.588888888888889,,,,48.899999999999999,44.739999999999995,44.75,46.633333333333326,,49.045454545454554,,45.650000000000006,,50.0,52.100000000000001,52.0,
2012-10-23 20:02:00,46.486792452830215,37.729999999999997,35.900000000000034,50.288888888888891,48.637499999999996,47.237500000000004,,50.463636363636368,49.127272727272725,43.724999999999994,,,40.955000000000013,49.171428571428578,50.212499999999999,52.588888888888881,45.420000000000002,,48.670000000000002,,,38.068461538461534,,40.920000000000002,,,,48.766666666666673,44.744444444444447,44.799999999999997,46.839999999999996,,48.899999999999999,,46.100000000000001,,50.31666666666667,51.93333333333333,51.899999999999999,
2012-10-23 20:03:00,46.424528301886816,38.25454545454545,35.925454545454556,50.224999999999994,48.654545454545456,47.300000000000004,,50.890909090909098,48.918181818181822,43.620000000000005,,,40.952941176470588,49.114285714285714,50.059999999999995,52.077777777777783,46.066666666666663,,48.900000000000006,,,38.030392156862753,,40.666666666666664,,,,48.650000000000006,44.422222222222224,44.899999999999999,46.483333333333327,,48.600000000000001,,46.236363636363635,,49.979999999999997,52.199999999999996,51.899999999999999,
2012-10-23 20:04:00,46.528070175438565,37.720000000000006,36.071186440677948,50.224999999999994,48.433333333333337,47.342857142857142,,50.616666666666667,48.849999999999994,43.642857142857146,,,41.022857142857134,49.114285714285714,50.220000000000006,52.174999999999997,45.9375,,48.766666666666673,,,37.988846153846147,,40.640000000000001,,,,48.600000000000001,44.100000000000001,44.899999999999999,46.580000000000005,,48.554545454545455,,46.427272727272722,,49.769999999999996,52.199999999999996,51.899999999999999,
2012-10-23 20:05:00,46.762264150943381,37.609999999999999,36.168421052631608,50.224999999999994,48.460000000000001,47.383333333333333,,50.471428571428568,48.879999999999995,43.571428571428569,,,41.166666666666671,49.033333333333331,50.040000000000006,52.483333333333327,46.61999999999999,,48.766666666666673,,,38.096296296296302,,40.633333333333333,,,,48.549999999999997,44.212499999999991,44.799999999999997,46.600000000000001,,48.649999999999999,,46.333333333333336,,50.037500000000001,52.199999999999996,51.966666666666669,
2012-10-23 20:06:00,46.634615384615358,37.945454545454538,36.209090909090932,50.080000000000005,48.550000000000004,47.471428571428575,,50.411111111111104,49.0,43.429999999999993,,,41.699999999999982,49.133333333333333,50.400000000000006,52.366666666666667,46.533333333333331,,49.225000000000001,,,38.38692307692309,,40.733333333333327,,,,48.450000000000003,44.249999999999993,44.700000000000003,46.633333333333333,,48.889999999999993,,46.670000000000002,,50.0625,52.399999999999999,51.949999999999996,
