nodes,1_metadata_mismatches
1,0.642376
1,0.289697
1,0.317672
1,0.258696
1,0.266691
2,0.448671
2,0.514595
2,0.47109199999999996
2,0.610296
2,0.444337
3,1.544481
3,0.618292
3,0.6622279999999999
3,0.710378
3,0.63388
4,0.5609299999999999
4,1.040478
4,0.832731
4,0.706185
4,0.8399449999999999
5,0.8339749999999999
5,1.1151309999999999
5,0.9851939999999999
5,1.038767
5,1.114877
6,0.995748
6,1.112597
6,1.2702309999999999
6,1.2614049999999999
6,1.307968
7,1.185878
7,1.4514259999999999
7,1.183902
7,1.4808649999999999
7,1.300807
8,1.422277
8,1.312524
8,1.536621
8,1.52395
8,1.6079649999999999
9,1.659308
9,1.708173
9,1.873368
9,1.7948469999999999
9,1.4736859999999998
10,1.823062
10,1.5399699999999998
10,1.9916079999999998
10,1.8075809999999999
10,1.9535449999999999
20,3.4276899999999997
20,3.4023109999999996
20,3.642146
20,3.4125579999999998
20,6.5704579999999995
30,5.457015
30,5.415844
30,5.009538
30,4.418054
30,4.8739609999999995
40,5.756455
40,6.6849169999999996
40,6.939781
40,6.220685
40,7.009759
50,7.401882
50,8.236424999999999
50,8.096354
50,8.348576
50,8.605615
60,9.537325
60,12.907102
60,10.305394
60,10.092748
60,10.531433
70,12.288001999999999
70,13.011595
70,12.657878
70,17.281085
70,12.784956
80,12.690622
80,14.579459
80,15.342739
80,15.237368
80,19.363429
90,17.165813
90,17.228652
90,17.241958
90,22.912910999999998
90,21.42849
100,19.657331
100,19.764174999999998
100,20.246323
100,17.248275
100,20.605549999999997
200,42.001498
200,40.313210999999995
200,47.297433
200,44.977579999999996
200,42.375738999999996
300,95.0182
300,88.16184899999999
300,92.73135599999999
300,91.909048
300,94.07251199999999
400,154.688225
400,172.129097
400,159.82051199999998
400,163.488358
400,165.61058
500,275.053655
500,272.55643299999997
500,264.670367
500,277.50011
500,277.965968
600,412.281479
600,436.221179
600,433.71822599999996
600,469.53236499999997
600,440.97520499999996
700,637.697359
700,774.3364409999999
700,651.4777809999999
700,626.426737
700,634.214648
800,1014.4354639999999
800,989.163333
800,990.4539619999999
800,1002.842044
800,1028.077754
900,1341.439852
900,1329.368377
900,1333.2962229999998
900,1331.021107
900,1312.852083
1000,1679.9236859999999
1000,1731.428019
1000,1748.425593
1000,1731.207553
1000,1753.124558
