nodes,1_metadata_mismatches
1,31.492988999999998
1,10.993908
1,10.716182
1,10.408121999999999
1,12.483217
2,24.94982
2,12.375413
2,10.579593
2,10.857151
2,11.041611
3,28.191616999999997
3,13.149296999999999
3,14.202347
3,12.082051
3,9.937434
4,27.231467
4,14.040875999999999
4,11.712822
4,10.274956
4,12.727568
5,20.956104999999997
5,15.128753
5,11.913278
5,12.818539999999999
5,12.825965
6,25.595042
6,13.402871999999999
6,12.034951
6,13.399604
6,13.884485
7,25.692408999999998
7,15.08681
7,12.132532999999999
7,17.919349999999998
7,13.496134
8,24.525593
8,15.920876999999999
8,13.617412999999999
8,13.836715
8,13.850596
9,28.928753
9,15.401223
9,19.240916
9,15.42601
9,14.01461
10,22.054211
10,15.995645999999999
10,15.104896
10,15.635441
10,16.493814
20,32.69236
20,21.454248
20,20.771109
20,21.057655999999998
20,19.015781999999998
30,41.134074999999996
30,29.258996999999997
30,27.164507999999998
30,24.312210999999998
30,23.657049999999998
40,36.723697
40,33.598335
40,31.859316
40,29.262743
40,33.295499
50,38.15237
50,40.590831
50,36.383131999999996
50,34.631467
50,37.709388
60,46.21583
60,40.52722
60,70.26150799999999
60,41.335741999999996
60,45.911837
70,46.431166
70,56.576339
70,48.860645999999996
70,49.950298
70,47.704238
80,56.68825
80,59.978153999999996
80,60.946734
80,63.737081999999994
80,54.702932
90,64.407422
90,63.768918
90,64.929037
90,63.613409
90,64.349127
100,108.35971099999999
100,75.895753
100,69.910878
100,63.026239
100,75.604846
200,132.72098499999998
200,121.854109
200,148.416622
200,123.620949
200,119.06274599999999
300,228.193097
300,211.438572
300,248.14293999999998
300,226.272291
300,227.927662
400,369.91212099999996
400,386.343364
400,387.596725
400,394.481471
400,393.022425
500,536.665048
500,551.631259
500,541.861597
500,585.676848
500,559.9068219999999
600,763.374459
600,749.163052
600,753.673489
600,836.6746099999999
600,738.1570509999999
700,1020.7679149999999
700,1051.719633
700,992.976315
700,992.358923
700,1003.8296349999999
800,1321.184041
800,1324.21039
800,1303.653108
800,1345.340117
800,1313.544837
900,1725.6676209999998
900,1683.048206
900,1701.5660209999999
900,1675.7378939999999
900,1646.158224
1000,2095.8241869999997
1000,2166.497444
1000,2071.460242
1000,2162.1993469999998
1000,2112.462976
