nodes,1_metadata_mismatches
1,2.094097
1,0.127681
1,0.130655
1,0.154155
1,0.12778
2,0.22835899999999998
2,0.21920599999999998
2,0.209595
2,0.213576
2,0.218384
3,0.319409
3,0.425052
3,0.303241
3,0.313658
3,0.30118
4,0.415832
4,0.47290699999999997
4,0.419379
4,0.497119
4,0.427979
5,0.38900599999999996
5,0.596159
5,0.548692
5,0.476495
5,0.623721
6,0.616262
6,0.637848
6,0.684493
6,0.668238
6,0.75303
7,0.490907
7,0.94766
7,0.9165749999999999
7,0.9186979999999999
7,0.9128809999999999
8,0.8875
8,1.1171879999999998
8,0.8636389999999999
8,0.880085
8,0.959711
9,1.312152
9,1.011704
9,1.1654179999999998
9,1.509553
9,1.230952
10,0.794766
10,1.345079
10,1.165508
10,1.5349409999999999
10,1.166417
20,4.024846999999999
20,2.615677
20,3.4161099999999998
20,3.2976609999999997
20,3.175979
30,2.0104029999999997
30,5.211422
30,4.787992
30,5.239199999999999
30,4.276662
40,8.061755999999999
40,5.998021
40,6.9171439999999995
40,6.3393489999999995
40,6.025289
50,9.551342
50,7.690388
50,9.424272
50,8.563046
50,12.27769
60,10.87473
60,9.505198
60,9.937298
60,9.849976
60,14.195981999999999
70,14.167347999999999
70,11.62319
70,16.472041
70,11.349114
70,13.204063
80,13.749103
80,15.170850999999999
80,15.201552
80,14.945977
80,18.881875
90,17.169777
90,20.603289999999998
90,16.386098
90,18.47531
90,16.664454
100,18.910117
100,23.078319999999998
100,19.289768
100,20.318061
100,20.374599999999997
200,44.168369999999996
200,40.516061
200,37.494212
200,32.185735
200,40.152733
300,61.002145
300,50.622125
300,61.782525
300,50.536153999999996
300,49.002623
400,86.55048699999999
400,66.013639
400,70.970806
400,80.566064
400,80.753753
500,101.90603899999999
500,98.90517799999999
500,101.659826
500,98.400751
500,106.24372299999999
600,119.454894
600,121.438949
600,100.794062
600,122.563105
600,117.610502
700,132.760853
700,134.742917
700,121.04287
700,142.39469
700,117.507007
800,171.37077499999998
800,157.81372
800,165.57433799999998
800,132.51886
800,163.771072
900,154.43021
900,175.209534
900,182.414086
900,182.309168
900,164.88547699999998
1000,167.443987
1000,171.00195599999998
1000,166.23646399999998
1000,166.717246
1000,166.770941
