nodes,100_metadata_mismatches
1,2.330057
1,0.71978
1,0.9325019999999999
1,0.584351
1,0.581654
2,1.173033
2,0.9288599999999999
2,0.9294439999999999
2,0.926616
2,0.925187
3,1.424463
3,1.347781
3,1.43842
3,1.327492
3,1.2671519999999998
4,3.184649
4,1.767861
4,1.671109
4,1.764516
4,1.6692129999999998
5,1.850007
5,2.26017
5,2.298964
5,2.210362
5,2.0347079999999997
6,2.162562
6,2.563458
6,2.838972
6,2.391941
6,2.4522779999999997
7,2.342908
7,2.8383559999999997
7,2.9737649999999998
7,2.8430269999999997
7,2.7237199999999997
8,3.014995
8,3.3261659999999997
8,3.2856769999999997
8,3.133898
8,3.119729
9,3.056425
9,4.029818
9,3.754479
9,3.4445379999999997
9,3.452917
10,3.6588119999999997
10,5.152031
10,4.416977999999999
10,3.898288
10,3.868144
20,7.1108899999999995
20,8.257427
20,7.393374
20,7.3545869999999995
20,7.463684
30,12.237594
30,12.550815
30,11.152198
30,11.564883
30,11.166727999999999
40,16.39202
40,17.184456
40,18.88906
40,17.028921
40,19.901626
50,18.747427
50,23.312331999999998
50,22.949987
50,22.662695
50,22.063578
60,21.780744
60,29.308873
60,23.444428
60,26.983221999999998
60,22.893151
70,27.117772
70,28.806849
70,29.817653999999997
70,28.142636999999997
70,29.725894999999998
80,31.352086999999997
80,37.36331
80,38.051386
80,36.115992
80,32.773336
90,38.679429999999996
90,40.770492
90,40.198927999999995
90,36.315033
90,39.961971
100,40.394253
100,41.046006999999996
100,46.270375
100,42.122296999999996
100,43.495647999999996
200,86.043562
200,97.288788
200,107.305925
200,91.228049
200,97.89340399999999
300,172.905658
300,163.182224
300,164.247219
300,168.497771
300,160.467275
400,261.865679
400,264.050114
400,262.14383799999996
400,263.31198
400,260.87593599999997
500,411.50870199999997
500,403.93760799999995
500,411.123678
500,423.37798999999995
500,398.781091
600,666.826906
600,675.148186
600,685.429926
600,707.433908
600,666.881949
700,903.611592
700,874.411385
700,935.62451
700,935.03517
700,886.717664
800,1195.384318
800,1269.795576
800,1208.032409
800,1149.476821
800,1150.996743
900,1587.402286
900,1504.06459
900,1518.746805
900,1519.7394789999998
900,1521.447733
1000,1917.652118
1000,2014.846899
1000,1944.650077
1000,1951.259953
1000,1949.1152069999998
